Palautusaika;TehtavaNimi;TehtavaID;KayttajaID
9/09/20, 00:05;L02T3;8;6604644
9/09/20, 09:41;L01T3;3;6607407
9/09/20, 09:41;L01T2;2;6607407
9/09/20, 09:41;L01T1;1;6607407
9/09/20, 09:42;L01T5;5;6607407
9/09/20, 09:42;L01T4;4;6607407
9/09/20, 10:15;L02T2;7;6607407
9/09/20, 10:33;L02T3;8;6607407
9/09/20, 11:00;L02T4;9;6607407
9/09/20, 11:08;L03T1;11;6604956
9/09/20, 11:09;L03T2;12;6604956
9/09/20, 12:20;L01T1;1;49542
9/09/20, 12:45;L01T4;4;49542
9/09/20, 12:50;L01T5;5;49542
9/09/20, 13:55;L01T1;1;6604974
9/09/20, 14:29;L02T5;10;6607407
9/09/20, 15:06;L01T1;1;6607470
9/09/20, 15:38;L01T2;2;3206898
9/09/20, 15:38;L01T1;1;3206898
9/09/20, 15:40;L01T3;3;3206898
9/09/20, 17:00;L01T2;2;6604974
9/09/20, 17:07;L01T4;4;6604974
9/09/20, 17:10;L01T1;1;6605811
9/09/20, 17:17;L01T2;2;6605811
9/09/20, 17:33;L01T4;4;3206898
9/09/20, 17:40;L01T1;1;6604986
9/09/20, 17:50;L01T2;2;6604986
9/09/20, 18:04;L02T2;7;49542
9/09/20, 18:05;L01T4;4;6604986
9/09/20, 18:17;L01T5;5;6604986
9/09/20, 18:21;L01T1;1;6605055
9/09/20, 18:27;L02T3;8;49542
9/09/20, 18:48;L02T2;7;6604986
9/09/20, 18:58;L02T5;10;49542
9/09/20, 19:52;L02T3;8;6604986
9/09/20, 20:35;L01T2;2;6605055
9/09/20, 20:40;L01T3;3;6605055
9/09/20, 20:41;L01T4;4;6605055
9/09/20, 20:42;L01T5;5;6605055
9/09/20, 20:43;L03T1;11;49542
9/09/20, 20:57;L03T2;12;49542
9/09/20, 21:53;L03T5;15;6604956
9/09/20, 22:12;L05T4;24;3209775
10/09/20, 08:26;L01T5;5;6605811
10/09/20, 09:43;L02T4;9;6604986
10/09/20, 10:12;L02T5;10;6604986
10/09/20, 10:39;L03T1;11;6604986
10/09/20, 10:53;L02T2;7;6605811
10/09/20, 11:43;L02T3;8;6605811
10/09/20, 12:09;L03T1;11;6607407
10/09/20, 12:16;L02T4;9;6605811
10/09/20, 12:35;L01T3;3;3209643
10/09/20, 12:57;L01T4;4;3209643
10/09/20, 12:58;L02T5;10;6605811
10/09/20, 13:27;L01T1;1;50844
10/09/20, 13:31;L01T2;2;50844
10/09/20, 13:36;L01T3;3;50844
10/09/20, 13:37;L04T1;16;6604956
10/09/20, 13:37;L01T4;4;50844
10/09/20, 13:40;L03T4;14;6604986
10/09/20, 13:41;L01T5;5;50844
10/09/20, 13:50;L02T2;7;50844
10/09/20, 14:00;L02T3;8;50844
10/09/20, 14:15;L02T4;9;50844
10/09/20, 14:22;L02T5;10;50844
10/09/20, 14:29;L03T1;11;50844
10/09/20, 14:33;L02T2;7;6607470
10/09/20, 14:41;L03T5;15;6604986
10/09/20, 14:46;L02T3;8;6607470
10/09/20, 14:47;L03T3;13;50844
10/09/20, 14:48;L04T2;17;6604956
10/09/20, 14:50;L03T3;13;6607407
10/09/20, 14:55;L03T4;14;50844
10/09/20, 15:00;L02T4;9;6607470
10/09/20, 15:05;L04T3;18;6604956
10/09/20, 15:06;L03T4;14;6607407
10/09/20, 15:08;L04T1;16;50844
10/09/20, 15:10;L02T5;10;6607470
10/09/20, 15:17;L04T3;18;50844
10/09/20, 15:22;L04T2;17;50844
10/09/20, 15:29;L04T4;19;50844
10/09/20, 15:32;L04T1;16;6604986
10/09/20, 15:38;L03T2;12;6605811
10/09/20, 15:59;L01T1;1;6605022
10/09/20, 16:07;L01T2;2;6605022
10/09/20, 16:28;L04T2;17;6604986
10/09/20, 16:41;L04T3;18;6604986
10/09/20, 16:43;L01T3;3;6605022
10/09/20, 16:45;L01T4;4;6605022
10/09/20, 16:52;L01T5;5;6605022
10/09/20, 16:59;L02T4;9;6604716
10/09/20, 17:48;L04T4;19;6604986
10/09/20, 19:47;L04T5;20;6604986
10/09/20, 19:51;L03T1;11;6607470
10/09/20, 20:21;L03T3;13;6607470
10/09/20, 20:33;L03T4;14;6605811
10/09/20, 20:38;L05T1;21;6604986
10/09/20, 21:15;L03T5;15;6607470
10/09/20, 21:16;L02T5;10;6604716
10/09/20, 21:17;L02T2;7;6604716
11/09/20, 09:37;L05T2;22;6604986
11/09/20, 09:38;L05T3;23;6604986
11/09/20, 09:52;L04T5;20;6604956
11/09/20, 10:22;L05T4;24;6604986
11/09/20, 10:44;L03T5;15;6605811
11/09/20, 12:11;L04T1;16;6605811
11/09/20, 13:09;L05T5;25;6604986
11/09/20, 13:17;L01T1;1;49719
11/09/20, 13:20;L04T1;16;6607470
11/09/20, 13:24;L01T3;3;49719
11/09/20, 13:24;L01T4;4;49719
11/09/20, 13:25;L01T5;5;49719
11/09/20, 13:28;L04T2;17;6607470
11/09/20, 13:44;L04T3;18;6607470
11/09/20, 13:59;L04T4;19;6607470
11/09/20, 14:38;L04T5;20;6607470
11/09/20, 14:42;L04T1;16;6607407
11/09/20, 14:54;L04T2;17;6607407
11/09/20, 16:23;L01T3;3;6604611
11/09/20, 18:19;L01T2;2;6607926
11/09/20, 18:24;L01T3;3;6607926
11/09/20, 18:31;L01T5;5;6607926
11/09/20, 18:59;L02T2;7;6607926
11/09/20, 19:24;L01T2;2;6604665
11/09/20, 19:25;L01T1;1;6604665
11/09/20, 19:26;L01T3;3;6604665
11/09/20, 19:26;L01T4;4;6604665
11/09/20, 19:34;L04T3;18;6607407
11/09/20, 20:15;L04T5;20;6607407
11/09/20, 20:38;L02T2;7;6604665
11/09/20, 23:15;L11T1;48;3209775
12/09/20, 09:01;L01T1;1;6604371
12/09/20, 09:30;L01T3;3;6604371
12/09/20, 09:35;L01T4;4;6604371
12/09/20, 09:47;L01T5;5;6604371
12/09/20, 11:09;L05T1;21;6607407
12/09/20, 11:43;L01T4;4;6604611
12/09/20, 11:54;L01T2;2;6604398
12/09/20, 11:55;L01T3;3;6604398
12/09/20, 11:58;L01T5;5;6604611
12/09/20, 12:01;L01T4;4;6604398
12/09/20, 12:09;L06T1;26;6604986
12/09/20, 12:14;L01T5;5;6604398
12/09/20, 12:49;L14T3;59;3209775
12/09/20, 13:10;L02T2;7;6604398
12/09/20, 13:42;L01T1;1;6604491
12/09/20, 13:48;L01T2;2;6604491
12/09/20, 14:00;L01T4;4;6604491
12/09/20, 14:07;L03T2;12;6604716
12/09/20, 14:40;L06T2;27;6604986
12/09/20, 15:17;L05T2;22;6607407
12/09/20, 15:28;L02T3;8;6604398
12/09/20, 15:37;L05T3;23;6607407
12/09/20, 16:47;L01T1;1;6604782
12/09/20, 16:51;L01T2;2;6604782
12/09/20, 16:52;L01T3;3;6604782
12/09/20, 16:53;L01T4;4;6604782
12/09/20, 16:54;L01T5;5;6604782
12/09/20, 17:31;L03T1;11;6604644
12/09/20, 18:01;L05T4;24;6607407
12/09/20, 18:08;L03T2;12;6604644
12/09/20, 18:20;L02T4;9;6604665
12/09/20, 18:28;L01T1;1;6605112
12/09/20, 18:40;L03T3;13;6604716
12/09/20, 18:50;L01T2;2;6605112
12/09/20, 18:52;L03T3;13;6604644
12/09/20, 19:05;L01T3;3;6605112
12/09/20, 19:10;L01T4;4;6605112
12/09/20, 19:25;L02T5;10;6604665
12/09/20, 19:34;L01T5;5;6605112
12/09/20, 19:56;L04T1;16;6604644
12/09/20, 20:04;L03T1;11;6604665
12/09/20, 20:07;L06T4;29;6604986
12/09/20, 20:09;L12T2;52;3209775
12/09/20, 21:35;L01T1;1;50358
12/09/20, 22:38;L01T2;2;50358
12/09/20, 22:40;L01T3;3;50358
12/09/20, 22:49;L02T2;7;50358
12/09/20, 22:54;L02T3;8;50358
12/09/20, 22:56;L02T5;10;50358
12/09/20, 22:57;L03T1;11;50358
12/09/20, 22:58;L03T2;12;50358
12/09/20, 22:59;L03T3;13;50358
12/09/20, 23:01;L03T5;15;50358
12/09/20, 23:02;L04T1;16;50358
12/09/20, 23:03;L04T2;17;50358
12/09/20, 23:05;L04T4;19;50358
12/09/20, 23:30;L05T1;21;50358
12/09/20, 23:31;L05T2;22;50358
12/09/20, 23:33;L05T4;24;50358
12/09/20, 23:34;L05T5;25;50358
12/09/20, 23:35;L06T1;26;50358
12/09/20, 23:38;L06T2;27;50358
12/09/20, 23:39;L06T3;28;50358
12/09/20, 23:48;L06T4;29;50358
13/09/20, 00:17;L02T2;7;3206898
13/09/20, 00:21;L04T3;18;6604644
13/09/20, 01:13;L03T4;14;6604644
13/09/20, 08:54;L06T5;30;6604986
13/09/20, 09:47;L02T3;8;6604371
13/09/20, 09:49;L02T2;7;6604782
13/09/20, 10:24;L01T1;1;6607653
13/09/20, 10:25;L02T3;8;6604782
13/09/20, 10:28;L02T4;9;6604371
13/09/20, 10:28;L01T2;2;6607653
13/09/20, 10:32;L01T3;3;6607653
13/09/20, 10:35;L01T4;4;6607653
13/09/20, 10:41;L02T4;9;6604782
13/09/20, 10:52;L07T1;31;6604986
13/09/20, 10:52;L05T2;22;6604956
13/09/20, 10:52;L02T2;7;6607653
13/09/20, 10:57;L02T2;7;6604611
13/09/20, 11:11;L02T2;7;6604491
13/09/20, 11:14;L02T5;10;6604371
13/09/20, 11:17;L05T3;23;6604956
13/09/20, 11:18;L02T3;8;6607653
13/09/20, 11:31;L02T4;9;6607653
13/09/20, 11:42;L01T4;4;93483
13/09/20, 11:47;L03T1;11;6607653
13/09/20, 12:12;L03T3;13;6607653
13/09/20, 12:19;L07T3;33;6604986
13/09/20, 12:20;L07T2;32;6604986
13/09/20, 12:33;L03T4;14;6607653
13/09/20, 12:52;L03T5;15;6607653
13/09/20, 13:09;L07T4;34;6604986
13/09/20, 13:48;L02T3;8;6604611
13/09/20, 14:39;L02T4;9;6604611
13/09/20, 14:46;L03T2;12;6604665
13/09/20, 15:06;L02T5;10;6604611
13/09/20, 16:27;L03T2;12;6604782
13/09/20, 16:28;L03T1;11;6604782
13/09/20, 16:42;L04T4;19;6607653
13/09/20, 17:00;L04T5;20;6607653
13/09/20, 17:05;L03T1;11;6604611
13/09/20, 17:40;L03T2;12;6604611
13/09/20, 17:48;L02T4;9;6604491
13/09/20, 17:59;L02T5;10;6604491
13/09/20, 18:33;L03T4;14;6604782
13/09/20, 21:46;L03T4;14;6604716
13/09/20, 22:41;L04T4;19;6604644
13/09/20, 23:31;L04T5;20;6604644
14/09/20, 00:22;L05T1;21;6604644
14/09/20, 07:29;L03T3;13;6604611
14/09/20, 08:18;L03T4;14;6604611
14/09/20, 08:45;L01T1;1;48870
14/09/20, 08:53;L01T2;2;48870
14/09/20, 09:26;L01T5;5;48870
14/09/20, 10:07;L02T2;7;48870
14/09/20, 11:08;L02T5;10;48870
14/09/20, 11:24;L02T4;9;48870
14/09/20, 11:26;L06T1;26;6607407
14/09/20, 11:30;L03T1;11;48870
14/09/20, 11:36;L03T3;13;48870
14/09/20, 11:45;L06T2;27;6607407
14/09/20, 11:46;L04T2;17;48870
14/09/20, 11:49;L04T4;19;48870
14/09/20, 11:53;L05T1;21;48870
14/09/20, 12:17;L07T2;32;48870
14/09/20, 12:27;L08T1;36;48870
14/09/20, 12:46;L01T5;5;6604974
14/09/20, 13:04;L05T2;22;6604644
14/09/20, 13:12;L07T5;35;6604986
14/09/20, 13:36;L04T5;20;50844
14/09/20, 13:49;L05T1;21;50844
14/09/20, 13:53;L05T2;22;50844
14/09/20, 13:56;L05T3;23;50844
14/09/20, 14:21;L05T1;21;6607470
14/09/20, 14:39;L05T2;22;6607470
14/09/20, 14:43;L05T5;25;50844
14/09/20, 14:46;L02T2;7;6605055
14/09/20, 14:47;L05T3;23;6607470
14/09/20, 15:06;L02T2;7;49719
14/09/20, 15:07;L02T3;8;6605055
14/09/20, 15:08;L02T5;10;49719
14/09/20, 15:08;L02T4;9;49719
14/09/20, 15:10;L03T2;12;49719
14/09/20, 15:19;L05T4;24;6607470
14/09/20, 15:35;L02T4;9;6605055
14/09/20, 15:44;L05T4;24;6604644
14/09/20, 15:50;L06T3;28;6607407
14/09/20, 16:01;L05T4;24;6604956
14/09/20, 17:27;L08T3;38;6604986
14/09/20, 18:36;L02T4;9;6604398
14/09/20, 18:50;L04T2;17;6604782
14/09/20, 18:55;L03T4;14;6605055
14/09/20, 18:55;L01T2;2;6604440
14/09/20, 18:56;L01T1;1;6604440
14/09/20, 18:57;L01T3;3;6604440
14/09/20, 19:02;L01T4;4;6604440
14/09/20, 19:03;L02T5;10;6604398
14/09/20, 19:17;L01T5;5;6604440
14/09/20, 19:27;L02T3;8;48870
14/09/20, 19:32;L06T4;29;6607407
14/09/20, 19:35;L03T5;15;6605055
14/09/20, 19:40;L04T1;16;48870
14/09/20, 19:54;L03T3;13;6604665
14/09/20, 19:58;L04T4;19;6604782
14/09/20, 20:07;L02T2;7;6605112
14/09/20, 20:33;L06T2;27;48870
14/09/20, 23:09;L05T5;25;6604644
14/09/20, 23:54;L01T1;1;6604446
14/09/20, 23:55;L01T2;2;6604446
14/09/20, 23:56;L01T3;3;6604446
14/09/20, 23:56;L01T4;4;6604446
15/09/20, 06:25;L04T5;20;6604782
15/09/20, 06:58;L01T1;1;6604977
15/09/20, 07:06;L01T2;2;6604977
15/09/20, 07:07;L01T3;3;6604977
15/09/20, 07:08;L01T4;4;6604977
15/09/20, 10:33;L02T2;7;6604974
15/09/20, 11:11;L06T5;30;6607407
15/09/20, 11:41;L04T1;16;6605055
15/09/20, 12:54;L05T5;25;6604956
15/09/20, 12:57;L02T3;8;6604974
15/09/20, 13:03;L04T3;18;6605055
15/09/20, 13:35;L04T4;19;6605055
15/09/20, 14:03;L06T1;26;6607470
15/09/20, 14:08;L06T1;26;6604644
15/09/20, 14:08;L01T1;1;3209691
15/09/20, 14:14;L04T5;20;6605055
15/09/20, 14:38;L05T1;21;6605055
15/09/20, 15:06;L06T3;28;6607470
15/09/20, 15:35;L06T2;27;6604644
15/09/20, 16:56;L05T2;22;6605055
15/09/20, 17:05;L02T3;8;6605112
15/09/20, 17:09;L02T4;9;6605112
15/09/20, 17:12;L02T5;10;6605112
15/09/20, 17:25;L01T1;1;6604494
15/09/20, 17:27;L01T2;2;6604494
15/09/20, 17:28;L01T3;3;6604494
15/09/20, 17:38;L01T4;4;6604494
15/09/20, 18:52;L03T1;11;6605112
15/09/20, 19:05;L02T2;7;6604977
15/09/20, 19:11;L06T4;29;6607470
15/09/20, 19:12;L02T3;8;6604977
15/09/20, 19:21;L02T4;9;6604977
15/09/20, 19:33;L05T3;23;6605055
15/09/20, 20:24;L01T1;1;6607488
15/09/20, 20:38;L02T2;7;6604446
15/09/20, 20:44;L01T2;2;6607488
15/09/20, 20:47;L05T5;25;6605055
15/09/20, 20:53;L01T3;3;6607488
15/09/20, 21:02;L01T4;4;6607488
15/09/20, 21:15;L02T3;8;6604446
15/09/20, 21:16;L03T1;11;6604977
15/09/20, 21:27;L01T5;5;6607488
15/09/20, 21:39;L02T4;9;6604446
15/09/20, 21:49;L05T4;24;6605055
15/09/20, 21:58;L01T2;2;6607563
15/09/20, 22:04;L01T3;3;6607563
15/09/20, 22:05;L01T4;4;6607563
15/09/20, 22:11;L01T5;5;6607563
15/09/20, 22:24;L02T2;7;6607563
15/09/20, 22:29;L02T5;10;6604446
15/09/20, 22:37;L06T5;30;6604644
15/09/20, 22:38;L02T3;8;6607563
15/09/20, 22:50;L03T1;11;6604446
15/09/20, 23:04;L03T2;12;6604446
15/09/20, 23:27;L03T3;13;6604446
16/09/20, 06:33;L08T4;39;6604986
16/09/20, 11:36;L02T2;7;6607488
16/09/20, 11:44;L04T3;18;48870
16/09/20, 12:37;L02T2;7;6604440
16/09/20, 13:14;L03T2;12;6605112
16/09/20, 13:40;L07T2;32;6607470
16/09/20, 13:46;L02T3;8;6604440
16/09/20, 14:12;L07T3;33;6607470
16/09/20, 14:42;L07T4;34;6607470
16/09/20, 15:50;L07T1;31;6607407
16/09/20, 15:56;L03T3;13;6605112
16/09/20, 16:11;L01T1;1;3209676
16/09/20, 16:13;L01T2;2;3209676
16/09/20, 16:15;L01T4;4;3209676
16/09/20, 16:16;L01T5;5;3209676
16/09/20, 16:25;L01T3;3;3209676
16/09/20, 17:10;L03T4;14;6605112
16/09/20, 18:23;L06T1;26;6605055
16/09/20, 18:27;L07T2;32;6607407
16/09/20, 18:47;L01T2;2;6605010
16/09/20, 18:48;L02T2;7;93483
16/09/20, 19:04;L01T5;5;6605010
16/09/20, 19:38;L07T4;34;6607407
16/09/20, 19:39;L03T5;15;6605112
16/09/20, 19:53;L07T5;35;6607470
16/09/20, 20:36;L03T5;15;6604716
16/09/20, 20:57;L02T3;8;6607488
16/09/20, 20:58;L02T5;10;6607563
16/09/20, 21:09;L03T1;11;6607563
16/09/20, 21:21;L03T2;12;6607563
16/09/20, 21:36;L03T3;13;6607563
16/09/20, 21:55;L03T4;14;6607563
16/09/20, 22:32;L03T5;15;6607563
16/09/20, 23:17;L03T4;14;6604446
16/09/20, 23:57;L03T5;15;6604446
17/09/20, 08:21;L02T4;9;6604974
17/09/20, 09:23;L03T5;15;6604611
17/09/20, 10:21;L02T5;10;6604974
